ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Scott,5/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/13/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,4023
Haley,5/13/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,4202
DeSantis,5/14/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1153
Trump,5/14/2024 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,10275
Biden,5/14/2024 12:00:00 AM,$0.49,$0.50,$0.48,$0.48,10594
Harris,5/14/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1234
Buttigieg,5/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/14/2024 12:00:00 AM,$0.06,$0.07,$0.04,$0.06,16475
Ramaswamy,5/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4
RFK Jr.,5/14/2024 12:00:00 AM,$0.06,$0.06,$0.04,$0.04,4333
Haley,5/14/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2507
DeSantis,5/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1799
Trump,5/15/2024 12:00:00 AM,$0.48,$0.50,$0.48,$0.50,9878
Biden,5/15/2024 12:00:00 AM,$0.48,$0.50,$0.48,$0.49,9004
Harris,5/15/2024 12:00:00 AM,$0.02,$0.04,$0.02,$0.03,5776
Buttigieg,5/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/15/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,989
Ramaswamy,5/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/15/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,5965
Haley,5/15/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2217
DeSantis,5/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1260
Trump,5/16/2024 12:00:00 AM,$0.50,$0.50,$0.48,$0.50,4835
Biden,5/16/2024 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,4812
Harris,5/16/2024 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,2677
Buttigieg,5/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/16/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1199
Ramaswamy,5/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/16/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.06,1711
Haley,5/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,959
DeSantis,5/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2344
Trump,5/17/2024 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,3126
Biden,5/17/2024 12:00:00 AM,$0.49,$0.50,$0.47,$0.47,8070
Harris,5/17/2024 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,8980
Buttigieg,5/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/17/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,4016
Ramaswamy,5/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,500
Scott,5/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/17/2024 12:00:00 AM,$0.06,$0.06,$0.04,$0.04,2259
Haley,5/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1938
DeSantis,5/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,301
Trump,5/18/2024 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,3165
Biden,5/18/2024 12:00:00 AM,$0.47,$0.48,$0.45,$0.45,5099
Harris,5/18/2024 12:00:00 AM,$0.03,$0.04,$0.02,$0.04,3047
Buttigieg,5/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/18/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,8426
Ramaswamy,5/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Scott,5/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,26
RFK Jr.,5/18/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,12628
Haley,5/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8801
DeSantis,5/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,880
Trump,5/19/2024 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,1034
Biden,5/19/2024 12:00:00 AM,$0.45,$0.48,$0.45,$0.47,7402
Harris,5/19/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,4532
Buttigieg,5/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/19/2024 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,184
Ramaswamy,5/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,859
RFK Jr.,5/19/2024 12:00:00 AM,$0.06,$0.07,$0.05,$0.05,5041
Haley,5/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1765
DeSantis,5/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Trump,5/20/2024 12:00:00 AM,$0.50,$0.51,$0.49,$0.51,8109
Biden,5/20/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.46,5529
Harris,5/20/2024 12:00:00 AM,$0.04,$0.04,$0.02,$0.03,703
Buttigieg,5/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/20/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,2506
Ramaswamy,5/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4000
RFK Jr.,5/20/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,3778
Haley,5/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,501
DeSantis,5/21/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1857
Trump,5/21/2024 12:00:00 AM,$0.51,$0.51,$0.50,$0.51,12759
Biden,5/21/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.45,7362
Harris,5/21/2024 12:00:00 AM,$0.03,$0.04,$0.02,$0.04,6978
Buttigieg,5/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,894
Newsom,5/21/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,5271
Ramaswamy,5/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/21/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,3281
Haley,5/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1741
DeSantis,5/22/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1414
Trump,5/22/2024 12:00:00 AM,$0.51,$0.52,$0.50,$0.51,4199
Biden,5/22/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.46,4466
Harris,5/22/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,4162
Buttigieg,5/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/22/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,4467
Ramaswamy,5/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/22/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1958
Haley,5/22/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4278
DeSantis,5/23/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,96
Trump,5/23/2024 12:00:00 AM,$0.51,$0.51,$0.50,$0.51,7454
Biden,5/23/2024 12:00:00 AM,$0.46,$0.46,$0.44,$0.45,6868
Harris,5/23/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,3717
Buttigieg,5/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/23/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.07,10538
Ramaswamy,5/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25000
RFK Jr.,5/23/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,3056
Haley,5/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,561
DeSantis,5/24/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3492
Trump,5/24/2024 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,7277
Biden,5/24/2024 12:00:00 AM,$0.45,$0.46,$0.44,$0.44,5270
Harris,5/24/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,2012
Buttigieg,5/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Newsom,5/24/2024 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,5180
Ramaswamy,5/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/24/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,1448
Haley,5/24/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4007
DeSantis,5/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1106
Trump,5/25/2024 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,5919
Biden,5/25/2024 12:00:00 AM,$0.44,$0.45,$0.43,$0.43,5394
Harris,5/25/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1004
Buttigieg,5/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/25/2024 12:00:00 AM,$0.07,$0.08,$0.06,$0.06,3063
Ramaswamy,5/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/25/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,3515
Haley,5/25/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2960
DeSantis,5/26/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,876
Trump,5/26/2024 12:00:00 AM,$0.52,$0.53,$0.51,$0.51,1299
Biden,5/26/2024 12:00:00 AM,$0.43,$0.45,$0.43,$0.44,3934
Harris,5/26/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,886
Buttigieg,5/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/26/2024 12:00:00 AM,$0.06,$0.08,$0.06,$0.06,1537
Ramaswamy,5/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/26/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1286
Haley,5/26/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,882
DeSantis,5/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1007
Trump,5/27/2024 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,5083
Biden,5/27/2024 12:00:00 AM,$0.44,$0.45,$0.44,$0.44,4524
Harris,5/27/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,12797
Buttigieg,5/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/27/2024 12:00:00 AM,$0.06,$0.11,$0.06,$0.08,9397
Ramaswamy,5/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/27/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,919
Haley,5/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1047
DeSantis,5/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1785
Trump,5/28/2024 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,12545
Biden,5/28/2024 12:00:00 AM,$0.44,$0.45,$0.43,$0.44,10493
Harris,5/28/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,2683
Buttigieg,5/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/28/2024 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,4007
Ramaswamy,5/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,5/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/28/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,4037
Haley,5/28/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,11881
DeSantis,5/29/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,10468
Trump,5/29/2024 12:00:00 AM,$0.52,$0.52,$0.50,$0.51,5312
Biden,5/29/2024 12:00:00 AM,$0.44,$0.45,$0.44,$0.45,12002
Harris,5/29/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,1428
Buttigieg,5/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/29/2024 12:00:00 AM,$0.07,$0.08,$0.06,$0.07,8278
Ramaswamy,5/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10125
Scott,5/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/29/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,954
Haley,5/29/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5920
DeSantis,5/30/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,35574
Trump,5/30/2024 12:00:00 AM,$0.51,$0.51,$0.46,$0.50,65170
Biden,5/30/2024 12:00:00 AM,$0.45,$0.50,$0.44,$0.49,51786
Harris,5/30/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,5471
Buttigieg,5/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/30/2024 12:00:00 AM,$0.07,$0.07,$0.05,$0.06,6127
Ramaswamy,5/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Scott,5/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,535
RFK Jr.,5/30/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,19377
Haley,5/30/2024 12:00:00 AM,$0.01,$0.03,$0.01,$0.03,90554
DeSantis,5/31/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4896
Trump,5/31/2024 12:00:00 AM,$0.50,$0.53,$0.50,$0.51,23736
Biden,5/31/2024 12:00:00 AM,$0.49,$0.49,$0.47,$0.48,17219
Harris,5/31/2024 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1061
Buttigieg,5/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,5/31/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,2437
Ramaswamy,5/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3000
Scott,5/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,5/31/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,2831
Haley,5/31/2024 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,11864
DeSantis,6/1/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,24590
Trump,6/1/2024 12:00:00 AM,$0.51,$0.52,$0.50,$0.51,6545
Biden,6/1/2024 12:00:00 AM,$0.48,$0.48,$0.46,$0.47,11550
Harris,6/1/2024 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,988
Buttigieg,6/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/1/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,2886
Ramaswamy,6/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/1/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,2883
Haley,6/1/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,5281
DeSantis,6/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1127
Trump,6/2/2024 12:00:00 AM,$0.51,$0.51,$0.50,$0.51,14157
Biden,6/2/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,5468
Harris,6/2/2024 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1130
Buttigieg,6/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Newsom,6/2/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1877
Ramaswamy,6/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Scott,6/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/2/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,1728
Haley,6/2/2024 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,3481
DeSantis,6/3/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,74
Trump,6/3/2024 12:00:00 AM,$0.51,$0.51,$0.49,$0.50,5939
Biden,6/3/2024 12:00:00 AM,$0.48,$0.49,$0.47,$0.48,6410
Harris,6/3/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,227
Buttigieg,6/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4
Newsom,6/3/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1111
Ramaswamy,6/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,913
Scott,6/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
RFK Jr.,6/3/2024 12:00:00 AM,$0.04,$0.07,$0.04,$0.05,21160
Haley,6/3/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,204
DeSantis,6/4/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1311
Trump,6/4/2024 12:00:00 AM,$0.50,$0.51,$0.49,$0.51,6817
Biden,6/4/2024 12:00:00 AM,$0.48,$0.49,$0.47,$0.47,9609
Harris,6/4/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,2049
Buttigieg,6/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7
Newsom,6/4/2024 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,301
Ramaswamy,6/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/4/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,1559
Haley,6/4/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2089
DeSantis,6/5/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1890
Trump,6/5/2024 12:00:00 AM,$0.51,$0.51,$0.50,$0.51,8377
Biden,6/5/2024 12:00:00 AM,$0.47,$0.49,$0.47,$0.47,7914
Harris,6/5/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,3080
Buttigieg,6/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/5/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,3145
Ramaswamy,6/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/5/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,2744
Haley,6/5/2024 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1862
DeSantis,6/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,541
Trump,6/6/2024 12:00:00 AM,$0.51,$0.52,$0.50,$0.51,7285
Biden,6/6/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.47,4127
Harris,6/6/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1116
Buttigieg,6/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/6/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,2662
Ramaswamy,6/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/6/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,392
Haley,6/6/2024 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,192
DeSantis,6/7/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3187
Trump,6/7/2024 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,8760
Biden,6/7/2024 12:00:00 AM,$0.47,$0.48,$0.45,$0.45,13116
Harris,6/7/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,2034
Buttigieg,6/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/7/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.05,15074
Ramaswamy,6/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,9999
Scott,6/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/7/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,6509
Haley,6/7/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2863
DeSantis,6/8/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2051
Trump,6/8/2024 12:00:00 AM,$0.52,$0.52,$0.51,$0.52,4001
Biden,6/8/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.45,2699
Harris,6/8/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,806
Buttigieg,6/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/8/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,2117
Ramaswamy,6/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Scott,6/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
RFK Jr.,6/8/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,5237
Haley,6/8/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1532
DeSantis,6/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3667
Trump,6/9/2024 12:00:00 AM,$0.52,$0.52,$0.51,$0.52,10933
Biden,6/9/2024 12:00:00 AM,$0.45,$0.46,$0.44,$0.45,11375
Harris,6/9/2024 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,2543
Buttigieg,6/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/9/2024 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1932
Ramaswamy,6/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/9/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,2762
Haley,6/9/2024 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1822
DeSantis,6/10/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,588
Trump,6/10/2024 12:00:00 AM,$0.52,$0.52,$0.50,$0.50,12544
Biden,6/10/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,7962
Harris,6/10/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1730
Buttigieg,6/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/10/2024 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,3833
Ramaswamy,6/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/10/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1996
Haley,6/10/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,34484
DeSantis,6/11/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1069
Trump,6/11/2024 12:00:00 AM,$0.50,$0.52,$0.50,$0.51,6828
Biden,6/11/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,8150
Harris,6/11/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1930
Buttigieg,6/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/11/2024 12:00:00 AM,$0.06,$0.11,$0.06,$0.07,10048
Ramaswamy,6/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
RFK Jr.,6/11/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,19444
Haley,6/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1423
DeSantis,6/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,575
Trump,6/12/2024 12:00:00 AM,$0.51,$0.52,$0.50,$0.51,5438
Biden,6/12/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,4038
Harris,6/12/2024 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,552
Buttigieg,6/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/12/2024 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,1523
Ramaswamy,6/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,6/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,6/12/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,1319
Haley,6/12/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1636
DeSantis,6/13/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1074
Trump,6/13/2024 12:00:00 AM,$0.51,$0.52,$0.50,$0.51,9380
Biden,6/13/2024 12:00:00 AM,$0.45,$0.46,$0.44,$0.44,7876
Harris,6/13/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,16195
Buttigieg,6/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,6/13/2024 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,1176
Ramaswamy,6/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Scott,6/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
RFK Jr.,6/13/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1487
Haley,6/13/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,860
DeSantis,6/14/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,113
Trump,6/14/2024 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,4956
Biden,6/14/2024 12:00:00 AM,$0.44,$0.45,$0.43,$0.44,5726
